chr11_KI270721v1_random	KI270721.1
chr14_GL000009v2_random	GL000009.2
chr14_GL000194v1_random	GL000194.1
chr14_GL000225v1_random	GL000225.1
chr14_KI270722v1_random	KI270722.1
chr14_KI270723v1_random	KI270723.1
chr14_KI270724v1_random	KI270724.1
chr14_KI270725v1_random	KI270725.1
chr14_KI270726v1_random	KI270726.1
chr15_KI270727v1_random	KI270727.1
chr16_KI270728v1_random	KI270728.1
chr17_GL000205v2_random	GL000205.2
chr17_KI270729v1_random	KI270729.1
chr17_KI270730v1_random	KI270730.1
chr1_KI270706v1_random	KI270706.1
chr1_KI270707v1_random	KI270707.1
chr1_KI270708v1_random	KI270708.1
chr1_KI270709v1_random	KI270709.1
chr1_KI270710v1_random	KI270710.1
chr1_KI270711v1_random	KI270711.1
chr1_KI270712v1_random	KI270712.1
chr1_KI270713v1_random	KI270713.1
chr1_KI270714v1_random	KI270714.1
chr22_KI270731v1_random	KI270731.1
chr22_KI270732v1_random	KI270732.1
chr22_KI270733v1_random	KI270733.1
chr22_KI270734v1_random	KI270734.1
chr22_KI270735v1_random	KI270735.1
chr22_KI270736v1_random	KI270736.1
chr22_KI270737v1_random	KI270737.1
chr22_KI270738v1_random	KI270738.1
chr22_KI270739v1_random	KI270739.1
chr2_KI270715v1_random	KI270715.1
chr2_KI270716v1_random	KI270716.1
chr3_GL000221v1_random	GL000221.1
chr4_GL000008v2_random	GL000008.2
chr5_GL000208v1_random	GL000208.1
chr9_KI270717v1_random	KI270717.1
chr9_KI270718v1_random	KI270718.1
chr9_KI270719v1_random	KI270719.1
chr9_KI270720v1_random	KI270720.1
chrUn_GL000195v1	GL000195.1
chrUn_GL000213v1	GL000213.1
chrUn_GL000214v1	GL000214.1
chrUn_GL000216v2	GL000216.2
chrUn_GL000218v1	GL000218.1
chrUn_GL000219v1	GL000219.1
chrUn_GL000220v1	GL000220.1
chrUn_GL000224v1	GL000224.1
chrUn_GL000226v1	GL000226.1
chrUn_KI270302v1	KI270302.1
chrUn_KI270303v1	KI270303.1
chrUn_KI270304v1	KI270304.1
chrUn_KI270305v1	KI270305.1
chrUn_KI270310v1	KI270310.1
chrUn_KI270311v1	KI270311.1
