1	chr1
2	chr2
3	chr3
4	chr4
5	chr5
6	chr6
7	chr7
8	chr8
9	chr9
10	chr10
11	chr11
12	chr12
13	chr13
14	chr14
15	chr15
16	chr16
17	chr17
18	chr18
19	chr19
20	chr20
21	chr21
22	chr22
X	chrX
Y	chrY
MT	chrM
GL000191.1	chr1_gl000191_random
GL000192.1	chr1_gl000192_random
GL000193.1	chr4_gl000193_random
GL000194.1	chr4_gl000194_random
GL000195.1	chr7_gl000195_random
GL000196.1	chr8_gl000196_random
GL000197.1	chr8_gl000197_random
GL000198.1	chr9_gl000198_random
GL000199.1	chr9_gl000199_random
GL000200.1	chr9_gl000200_random
GL000201.1	chr9_gl000201_random
GL000202.1	chr11_gl000202_random
GL000203.1	chr17_gl000203_random
GL000204.1	chr17_gl000204_random
GL000205.1	chr17_gl000205_random
GL000206.1	chr17_gl000206_random
GL000207.1	chr18_gl000207_random
GL000208.1	chr19_gl000208_random
GL000209.1	chr19_gl000209_random
GL000210.1	chr21_gl000210_random
GL000211.1	chrUn_gl000211
GL000212.1	chrUn_gl000212
GL000213.1	chrUn_gl000213
GL000214.1	chrUn_gl000214
GL000215.1	chrUn_gl000215
GL000216.1	chrUn_gl000216
GL000217.1	chrUn_gl000217
GL000218.1	chrUn_gl000218
GL000219.1	chrUn_gl000219
GL000220.1	chrUn_gl000220
GL000221.1	chrUn_gl000221
GL000222.1	chrUn_gl000222
GL000223.1	chrUn_gl000223
GL000224.1	chrUn_gl000224
GL000225.1	chrUn_gl000225
GL000226.1	chrUn_gl000226
GL000227.1	chrUn_gl000227
GL000228.1	chrUn_gl000228
GL000229.1	chrUn_gl000229
GL000230.1	chrUn_gl000230
GL000231.1	chrUn_gl000231
GL000232.1	chrUn_gl000232
GL000233.1	chrUn_gl000233
GL000234.1	chrUn_gl000234
GL000235.1	chrUn_gl000235
GL000236.1	chrUn_gl000236
GL000237.1	chrUn_gl000237
GL000238.1	chrUn_gl000238
GL000239.1	chrUn_gl000239
GL000240.1	chrUn_gl000240
GL000241.1	chrUn_gl000241
GL000242.1	chrUn_gl000242
GL000243.1	chrUn_gl000243
GL000244.1	chrUn_gl000244
GL000245.1	chrUn_gl000245
GL000246.1	chrUn_gl000246
GL000247.1	chrUn_gl000247
GL000248.1	chrUn_gl000248
GL000249.1	chrUn_gl000249
